Date,Close,High,Low,Open,Volume,Sentiment
2021-04-15,14581.4501953125,14597.5498046875,14353.2001953125,14522.400390625,568000,-1
2021-04-16,14617.849609375,14697.7001953125,14559.0,14599.599609375,577200,1
2021-04-19,14359.4501953125,14382.2998046875,14191.400390625,14306.599609375,512300,-1
2021-04-20,14296.400390625,14526.9501953125,14207.2998046875,14526.7001953125,467400,-1
2021-04-22,14406.150390625,14424.75,14151.400390625,14219.150390625,524600,-1
2021-04-23,14341.349609375,14461.150390625,14273.2998046875,14326.349609375,498100,1
2021-04-26,14485.0,14557.5,14421.2998046875,14449.4501953125,452700,1
2021-04-27,14653.0498046875,14667.5498046875,14484.849609375,14493.7998046875,451800,1
2021-04-28,14864.5498046875,14890.25,14694.9501953125,14710.5,457000,1
2021-04-29,14894.900390625,15044.349609375,14814.4501953125,14979.0,517500,-1
2021-04-30,14631.099609375,14855.4501953125,14601.7001953125,14747.349609375,613900,-1
2021-05-03,14634.150390625,14673.849609375,14416.25,14481.0498046875,448900,-1
2021-05-04,14496.5,14723.400390625,14461.5,14687.25,503400,-1
2021-05-05,14617.849609375,14637.900390625,14506.599609375,14604.150390625,455900,1
2021-05-06,14724.7998046875,14743.900390625,14611.5,14668.349609375,467800,1
2021-05-07,14823.150390625,14863.0498046875,14765.5,14816.849609375,488000,1
2021-05-10,14942.349609375,14966.900390625,14892.5,14928.25,522000,1
2021-05-11,14850.75,14900.0,14771.400390625,14789.7001953125,647400,-1
2021-05-12,14696.5,14824.0498046875,14649.7001953125,14823.5498046875,643800,-1
2021-05-14,14677.7998046875,14749.650390625,14591.900390625,14749.400390625,620700,-1
2021-05-17,14923.150390625,14938.0,14725.349609375,14756.25,546400,1
2021-05-18,15108.099609375,15137.25,15043.7001953125,15067.2001953125,583900,1
2021-05-19,15030.150390625,15133.400390625,15008.849609375,15058.599609375,569100,1
2021-05-20,14906.0498046875,15069.7998046875,14884.900390625,15042.599609375,480300,-1
2021-05-21,15175.2998046875,15190.0,14985.849609375,14987.7998046875,572900,1
2021-05-24,15197.7001953125,15256.25,15145.4501953125,15211.349609375,579800,1
2021-05-25,15208.4501953125,15293.849609375,15163.400390625,15291.75,441500,1
2021-05-26,15301.4501953125,15319.900390625,15194.9501953125,15257.0498046875,384000,1
2021-05-27,15337.849609375,15384.5498046875,15272.5,15323.9501953125,0,-1
2021-05-28,15435.650390625,15469.650390625,15394.75,15421.2001953125,468100,-1
2021-05-31,15582.7998046875,15606.349609375,15374.0,15437.75,436000,1
2021-06-01,15574.849609375,15660.75,15528.2998046875,15629.650390625,409600,-1
2021-06-02,15576.2001953125,15597.4501953125,15459.849609375,15520.349609375,428600,1
2021-06-03,15690.349609375,15705.099609375,15611.0,15655.5498046875,410200,1
2021-06-04,15670.25,15733.599609375,15622.349609375,15712.5,414200,1
2021-06-07,15751.650390625,15773.4501953125,15678.099609375,15725.099609375,394000,1
2021-06-08,15740.099609375,15778.7998046875,15680.0,15773.900390625,378200,1
2021-06-09,15635.349609375,15800.4501953125,15566.900390625,15766.2998046875,457900,1
2021-06-10,15737.75,15751.25,15648.5,15692.099609375,298300,1
2021-06-11,15799.349609375,15835.5498046875,15749.7998046875,15796.4501953125,363000,-1
2021-06-14,15811.849609375,15823.0498046875,15606.5,15791.400390625,392900,-1
2021-06-15,15869.25,15901.599609375,15842.400390625,15866.9501953125,323300,-1
2021-06-16,15767.5498046875,15880.849609375,15742.599609375,15847.5,340200,-1
2021-06-17,15691.400390625,15769.349609375,15616.75,15648.2998046875,357600,-1
2021-06-18,15683.349609375,15761.5,15450.900390625,15756.5,640800,-1
2021-06-21,15746.5,15765.150390625,15505.650390625,15525.849609375,351500,1
2021-06-22,15772.75,15895.75,15752.099609375,15840.5,322200,-1
2021-06-23,15686.9501953125,15862.9501953125,15673.9501953125,15862.7998046875,287500,-1
2021-06-24,15790.4501953125,15821.400390625,15702.7001953125,15737.2998046875,316700,-1
2021-06-25,15860.349609375,15870.7998046875,15772.2998046875,15839.349609375,314600,-1
2021-06-28,15814.7001953125,15915.650390625,15792.150390625,15915.349609375,255100,1
2021-06-29,15748.4501953125,15835.900390625,15724.0498046875,15807.5,360300,-1
2021-06-30,15721.5,15839.099609375,15708.75,15776.900390625,262400,-1
2021-07-01,15680.0,15755.5498046875,15667.0498046875,15755.0498046875,224900,-1
2021-07-05,15834.349609375,15845.9501953125,15762.0498046875,15793.400390625,207000,-1
2021-07-06,15818.25,15914.2001953125,15801.0,15813.75,391400,-1
2021-07-07,15879.650390625,15893.5498046875,15779.7001953125,15819.599609375,329300,1
2021-07-08,15727.900390625,15885.75,15682.900390625,15855.400390625,307900,1
2021-07-09,15689.7998046875,15730.849609375,15632.75,15688.25,243200,-1
2021-07-12,15692.599609375,15789.2001953125,15644.75,15766.7998046875,216300,-1
2021-07-13,15812.349609375,15820.7998046875,15744.599609375,15794.0,246700,1
2021-07-14,15853.9501953125,15877.349609375,15764.2001953125,15808.7001953125,0,1
2021-07-15,15924.2001953125,15952.349609375,15855.0,15872.150390625,284900,1
2021-07-16,15923.400390625,15962.25,15882.599609375,15958.349609375,276300,1
2021-07-19,15752.400390625,15836.900390625,15707.5,15754.5,242100,-1
2021-07-20,15632.099609375,15728.4501953125,15578.5498046875,15703.9501953125,274300,1
2021-07-22,15824.0498046875,15834.7998046875,15726.400390625,15736.599609375,265300,-1
2021-07-23,15856.0498046875,15899.7998046875,15768.400390625,15856.7998046875,294100,1
2021-07-26,15824.4501953125,15893.349609375,15797.0,15849.2998046875,267100,1
